kepid,kepoi_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,candidate_probability,prediction
5021899,K00821.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,21.81295996,174.01085,0.0,,0.053,4.3791,,1175.4,0.030952,2.39175,LS+MCMC,3.38,0.1495,89.92,639.0,39.33,5601.0,4.41,0.08,0.999,0.934,,294.77686,40.15374,15.54,16.187,15.492,15.262,15.147,14.204,13.776,13.702,5.072156682428085e-05,nan
5077629,K00822.01,2,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE,7.91936937,172.181092,0.0,,0.733,3.3148,,15148.0,0.121984,1.13074,LS+MCMC,10.34,0.0737,87.3,814.0,104.0,5690.0,4.588,-0.4,0.776,0.852,,283.53845,40.217999,15.805,16.346,15.757,15.572,15.446,14.482,14.112,14.055,6.240325869953244e-05,nan
5115978,K00823.01,0,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,1.028436523,170.228582,0.0,,1.5734,1.8606,,8098.0,0.673134,0.43236,MCMC,72.77,0.0197,57.3,1947.0,3400.48,6228.0,4.428,-0.44,0.99,0.959,,296.00699,40.295429,15.202,15.662,15.167,15.005,14.892,14.019,13.702,13.598,0.13339770154158442,false positive
5164255,K00824.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,15.37562369,173.61402,0.0,,0.692,3.3169,,15337.0,0.12103,2.43887,LS+MCMC,11.01,0.1121,88.73,600.0,30.54,4986.0,4.496,0.16,0.833,0.793,,283.25354,40.358189,16.422,17.227,16.367,16.077,15.879,14.877,14.359,14.178,0.002502749759029088,nan
5252423,K00825.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.10363271,176.9486,0.0,,0.047,3.161,,887.9,0.026361,2.33533,LS+MCMC,2.11,0.0712,89.87,687.0,52.82,4861.0,4.574,-0.08,0.732,0.733,,283.22141,40.421829,15.289,16.117,15.221,14.933,14.748,13.749,13.223,13.172,8.595478220053326e-05,nan
5252423,K00825.02,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.71510843,134.96178,0.0,,0.258,2.506,,417.5,0.018268,2.42359,LS+MCMC,1.46,0.0496,88.96,823.0,108.84,4861.0,4.574,-0.08,0.732,0.733,,283.22141,40.421829,15.289,16.117,15.221,14.933,14.748,13.749,13.223,13.172,0.00015118779222333611,nan
5272878,K00826.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.365839713,171.13575,0.0,,0.524,2.9721,,780.7,0.026275,1.41102,LS+MCMC,2.44,0.0659,87.92,914.0,165.33,5776.0,4.554,-0.18,0.849,0.939,,291.14951,40.420521,15.09,15.594,15.032,14.874,14.799,13.882,13.522,13.493,8.624374931060938e-05,nan
5283542,K00827.01,2,Done,2018-08-16,FALSE POSITIVE,0.037,0,0,1,0,q1_q17_dr25_sup_koi,CENT_UNRESOLVED_OFFSET,5.97581754,174.77602,0.0,,0.941,3.065,,962.4,0.035468,0.14724,LS+MCMC,3.86,0.066,81.71,1047.0,284.25,6108.0,4.471,-0.08,0.997,1.072,,294.22397,40.417858,15.546,16.038,15.487,15.336,15.214,14.33,14.047,14.045,5.220589080843501e-05,nan
5649215,K00839.01,2,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,1,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---EPHEM_MATCH,2.446737317,170.66951,0.0,,1.241,4.7211,,1177.9,0.278526,0.01691,LS+MCMC,26.25,0.0351,44.81,1261.0,597.19,5764.0,4.548,-0.12,0.863,0.959,,298.96112,40.862808,15.021,15.572,14.978,14.785,14.705,13.791,13.44,13.384,2.807011558655088e-05,nan
5651104,K00840.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,3.04033046,169.9490106,0.0,,0.736,1.8411,,10859.0,0.104023,2.31195,LS+MCMC,8.99,0.0374,85.95,1021.0,257.29,5035.0,4.519,-0.06,0.791,0.754,,299.3161,40.82238,15.028,15.823,14.978,14.687,14.505,13.514,13.016,12.922,0.0009809297304887354,nan
5792202,K00841.01,1,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,15.33528675,174.00278,0.0,,0.773,3.897,,3081.4,0.056,0.81659,LS+MCMC,5.0,0.1179,87.95,610.0,32.67,5251.0,4.581,0.21,0.817,0.926,,292.23676,41.08588,15.855,16.516,15.753,15.571,15.491,14.484,14.026,14.118,6.345581387347077e-05,nan
10875245,K00117.04,1,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.95825328,137.80219,0.0,,0.706,4.377,,50.0,0.006915,0.29918,LS+MCMC,1.06,0.0809,85.95,1074.0,314.15,5847.0,4.191,0.26,1.402,1.113,,297.02826,48.208611,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.06,0.02140254330249976,nan
